YEAR,SUNACTIVITY
1749.0,96.7
1749.08333333333,104.3
1749.16666666667,116.7
1749.25,92.8
1749.33333333333,141.7
1749.41666666667,139.2
1749.5,158.0
1749.58333333333,110.5
1749.66666666667,126.5
1749.75,125.8
1749.83333333333,264.3
1749.91666666667,142.0
1750.0,122.2
1750.08333333333,126.5
1750.16666666667,148.7
1750.25,147.2
1750.33333333333,150.0
1750.41666666667,166.7
1750.5,142.3
1750.58333333333,171.7
1750.66666666667,152.0
1750.75,109.5
1750.83333333333,105.5
1750.91666666667,125.7
1751.0,116.7
1751.08333333333,72.5
1751.16666666667,75.5
1751.25,94.0
1751.33333333333,101.2
1751.41666666667,84.5
1751.5,110.5
1751.58333333333,99.7
1751.66666666667,39.2
1751.75,38.7
1751.83333333333,47.5
1751.91666666667,73.3
1752.0,58.3
1752.08333333333,83.3
1752.16666666667,118.3
1752.25,98.8
1752.33333333333,99.5
1752.41666666667,66.0
1752.5,130.7
1752.58333333333,48.8
1752.66666666667,45.2
1752.75,77.7
1752.83333333333,62.7
1752.91666666667,66.7
1753.0,73.3
1753.08333333333,53.3
1753.16666666667,76.2
1753.25,63.3
1753.33333333333,60.0
1753.41666666667,52.8
1753.5,36.7
1753.58333333333,65.0
1753.66666666667,46.7
1753.75,41.7
1753.83333333333,33.3
1753.91666666667,11.2
1754.0,0.0
1754.08333333333,5.0
1754.16666666667,2.8
1754.25,22.8
1754.33333333333,34.5
1754.41666666667,44.5
1754.5,31.3
1754.58333333333,20.5
1754.66666666667,13.7
1754.75,40.2
1754.83333333333,22.0
1754.91666666667,7.0
1755.0,17.0
1755.08333333333,18.7
1755.16666666667,11.3
1755.25,10.8
1755.33333333333,0.0
1755.41666666667,0.0
1755.5,14.3
1755.58333333333,5.3
1755.66666666667,29.7
1755.75,39.5
1755.83333333333,11.3
1755.91666666667,33.3
1756.0,20.8
1756.08333333333,11.8
1756.16666666667,9.0
1756.25,15.7
1756.33333333333,20.8
1756.41666666667,21.5
1756.5,6.0
1756.58333333333,10.7
1756.66666666667,19.7
1756.75,23.8
1756.83333333333,28.3
1756.91666666667,15.7
1757.0,23.5
1757.08333333333,35.3
1757.16666666667,43.7
1757.25,50.0
1757.33333333333,63.5
1757.41666666667,21.3
1757.5,41.7
1757.58333333333,85.5
1757.66666666667,66.2
1757.75,54.2
1757.83333333333,107.8
1757.91666666667,55.8
1758.0,62.7
1758.08333333333,86.7
1758.16666666667,81.7
1758.25,120.5
1758.33333333333,77.3
1758.41666666667,75.0
1758.5,73.3
1758.58333333333,64.5
1758.66666666667,104.2
1758.75,62.8
1758.83333333333,71.7
1758.91666666667,71.7
1759.0,80.5
1759.08333333333,73.3
1759.16666666667,78.0
1759.25,78.3
1759.33333333333,81.7
1759.41666666667,83.3
1759.5,85.0
1759.58333333333,118.8
1759.66666666667,128.7
1759.75,99.5
1759.83333333333,77.2
1759.91666666667,95.0
1760.0,112.2
1760.08333333333,99.2
